date,latitude,longitude,parameter,value,location,source
2026-01-17 20:11:10.025709,28.54709580947399,77.09253971036117,pm25,134.67784258811696,Delhi,MOCK_DATA
2026-01-20 01:11:10.025846,28.620274305260917,77.21128801738878,pm25,204.51590911470694,Delhi,MOCK_DATA
2026-01-18 10:11:10.025885,28.56357296078725,77.32730231184144,pm25,140.126556268113,Delhi,MOCK_DATA
2026-01-18 05:11:10.025971,28.462202519919185,77.25143296445792,pm25,214.18182695573432,Delhi,MOCK_DATA
2026-01-18 21:11:10.026007,28.490765155784423,77.08081401125969,pm25,146.7385807014627,Delhi,MOCK_DATA
2026-01-17 17:11:10.026041,28.629743706743195,77.16958757770928,pm25,149.92007659315527,Delhi,MOCK_DATA
2026-01-19 12:11:10.026078,28.56480209436291,77.25376745988596,pm25,138.39625526449612,Delhi,MOCK_DATA
2026-01-18 19:11:10.026109,28.59901432401379,77.10732622764681,pm25,131.63251333885276,Delhi,MOCK_DATA
2026-01-19 06:11:10.026139,28.669722082587636,77.27651141978605,pm25,130.78795210708842,Delhi,MOCK_DATA
2026-01-19 13:11:10.026169,28.536833683912743,77.29652749213169,pm25,196.90744074905052,Delhi,MOCK_DATA
2026-01-18 12:11:10.026198,28.491750468531347,77.33207301463288,pm25,148.15302017032766,Delhi,MOCK_DATA
2026-01-18 00:11:10.026229,28.537561728314376,77.20209147557875,pm25,180.5655976529065,Delhi,MOCK_DATA
2026-01-19 09:11:10.026259,28.50843897484098,77.13146789401759,pm25,207.8037150619469,Delhi,MOCK_DATA
2026-01-18 09:11:10.026291,28.739718607804964,77.29679654051306,pm25,112.26465897374317,Delhi,MOCK_DATA
2026-01-18 22:11:10.026324,28.488473392517346,77.29842713533476,pm25,125.46531124960885,Delhi,MOCK_DATA
2026-01-19 09:11:10.026359,28.732555212712477,77.08751817084043,pm25,126.48504736198711,Delhi,MOCK_DATA
2026-01-17 11:11:10.026392,28.59018878322641,77.32205339730042,pm25,115.95449435506343,Delhi,MOCK_DATA
2026-01-19 11:11:10.026432,28.68415877690671,77.16288037181131,pm25,195.9576850627405,Delhi,MOCK_DATA
2026-01-20 00:11:10.026469,28.629349285079567,77.23667021043572,pm25,143.70555420473414,Delhi,MOCK_DATA
2026-01-17 23:11:10.026507,28.608880867497152,77.07210927314965,pm25,153.0261225874735,Delhi,MOCK_DATA
2026-01-19 14:11:10.026543,28.49230748581769,77.3131633307126,pm25,192.4956023003097,Delhi,MOCK_DATA
2026-01-17 16:11:10.026580,28.700018130535415,77.29840112388018,pm25,132.609175710459,Delhi,MOCK_DATA
2026-01-19 20:11:10.026615,28.522757512081622,77.29163289606605,pm25,164.12844562806652,Delhi,MOCK_DATA
2026-01-20 04:11:10.026649,28.682719822781998,77.22128154666198,pm25,112.60491873189268,Delhi,MOCK_DATA
2026-01-18 05:11:10.026690,28.54617530686972,77.22601591771539,pm25,141.02937178996496,Delhi,MOCK_DATA
2026-01-17 12:11:10.027299,28.645223991107056,77.34309984664927,pm10,315.2030156440372,Delhi,MOCK_DATA
2026-01-19 00:11:10.027441,28.750522748143734,77.28577382152135,pm10,272.55141891307164,Delhi,MOCK_DATA
2026-01-20 06:11:10.027481,28.556398063032763,77.22507782295447,pm10,266.0901125737377,Delhi,MOCK_DATA
2026-01-19 05:11:10.027512,28.61060630527085,77.22577790086235,pm10,173.04537241458547,Delhi,MOCK_DATA
2026-01-17 09:11:10.027544,28.606982935329885,77.20211895730412,pm10,169.04692162284033,Delhi,MOCK_DATA
2026-01-18 06:11:10.027574,28.6838036294848,77.18559592303481,pm10,209.63989268041013,Delhi,MOCK_DATA
2026-01-17 11:11:10.027601,28.754062503487198,77.15114056610231,pm10,280.2582432209273,Delhi,MOCK_DATA
2026-01-18 00:11:10.027698,28.56661760200807,77.2334735837282,pm10,300.4768326719734,Delhi,MOCK_DATA
2026-01-18 06:11:10.027728,28.72130998631612,77.08146020735208,pm10,210.5229289880477,Delhi,MOCK_DATA
2026-01-18 23:11:10.027754,28.662055098992084,77.19509010986853,pm10,184.69835625564693,Delhi,MOCK_DATA
2026-01-18 02:11:10.027781,28.467938191957042,77.16208399836955,pm10,255.8164237956464,Delhi,MOCK_DATA
2026-01-19 14:11:10.027807,28.50751500684063,77.22505051451317,pm10,263.897152692928,Delhi,MOCK_DATA
2026-01-18 10:11:10.028371,28.723197654715353,77.33760197514323,no2,117.54392895916938,Delhi,MOCK_DATA
2026-01-18 11:11:10.028476,28.733999344329025,77.17679536216386,no2,30.424697490714664,Delhi,MOCK_DATA
2026-01-19 01:11:10.028537,28.650274608570992,77.09089240096942,no2,37.10611966797879,Delhi,MOCK_DATA
2026-01-17 13:11:10.028577,28.581293470118137,77.29517470090815,no2,100.9402981657276,Delhi,MOCK_DATA
2026-01-19 06:11:10.028617,28.583300913440755,77.14331189528441,no2,65.42879193674437,Delhi,MOCK_DATA
2026-01-19 18:11:10.028655,28.515700695614626,77.17822429445211,no2,68.0347666831408,Delhi,MOCK_DATA
2026-01-18 06:11:10.028698,28.553318714830183,77.32318819136853,no2,42.1714243001773,Delhi,MOCK_DATA
2026-01-20 01:11:10.028736,28.524812013633518,77.2011290145275,no2,42.434908237602755,Delhi,MOCK_DATA
2026-01-17 17:11:10.029190,28.681215896766094,77.12736692660633,so2,30.386067237060075,Delhi,MOCK_DATA
2026-01-19 06:11:10.029417,28.668765996866846,77.35060454952617,so2,55.0893635953265,Delhi,MOCK_DATA
2026-01-19 09:11:10.029451,28.544312845363173,77.27294797008925,so2,35.114510599596244,Delhi,MOCK_DATA
2026-01-18 00:11:10.029482,28.579245534809644,77.0738894559144,so2,44.04306161509885,Delhi,MOCK_DATA
2026-01-17 12:11:10.029514,28.665692923822576,77.21394659555456,so2,45.352952951139045,Delhi,MOCK_DATA
2026-01-20 03:11:10.029540,28.665510318842774,77.19045961217337,so2,27.37905241252438,Delhi,MOCK_DATA
2026-01-18 05:11:10.030116,28.62213062493592,77.14240636489579,co,1.1199988850414466,Delhi,MOCK_DATA
